date,close,adj_close
2016-08-12,117.2,109.2088
2016-08-19,117.26,109.2647
2016-08-26,116.78,108.8174
2016-09-02,117.12,109.1342
2016-09-09,114.28,106.4879
2016-09-16,117.29,109.5665
2016-09-23,118.33,110.538
2016-09-30,118.72,110.9023
2016-10-07,118.47,110.6688
2016-10-14,117.14,109.4263
2016-10-21,118.15,110.3698
2016-10-28,117.1,109.389
2016-11-04,113.65,106.1662
2016-11-11,115.8,108.1746
2016-11-18,117.32,109.5945
2016-11-25,118.8,110.977
2016-12-02,115.7,108.0812
2016-12-09,119.5,111.6309
2016-12-16,119.6,112.0559
2016-12-23,120.2,112.6181
2016-12-30,118.48,111.0066
2017-01-06,121.93,114.2389
2017-01-13,123.16,115.3914
2017-01-20,123.25,115.4757
2017-01-27,125.8,117.8648
2017-02-03,125.68,117.7524
2017-02-10,127.38,119.3452
2017-02-17,129.81,121.6219
2017-02-24,130.26,122.0435
2017-03-03,131.02,122.7556
2017-03-10,131.39,123.1022
2017-03-17,131.69,123.6402
2017-03-24,130.63,122.645
2017-03-31,132.38,124.288
2017-04-07,131.97,123.903
2017-04-13,130.4,122.429
2017-04-21,132.56,124.457
2017-04-28,135.99,127.6773
2017-05-05,137.54,129.1326
2017-05-12,138.6,130.1278
2017-05-19,137.84,129.4142
2017-05-26,141.22,132.5876
2017-06-02,143.46,134.6907
2017-06-09,139.98,131.4234
2017-06-16,138.15,130.0606
2017-06-23,141.24,132.9696
2017-06-30,137.64,129.5804
2017-07-07,137.76,129.6934
2017-07-14,142.12,133.7981
2017-07-21,144.11,135.6716
2017-07-28,143.84,135.4174
2017-08-04,143.65,135.2385
2017-08-11,142.1,133.7793
2017-08-18,141.23,132.9602
2017-08-25,141.97,133.6569
2017-09-01,146.0,137.4509
2017-09-08,144.21,135.7657
2017-09-15,146.06,137.5074
2017-09-22,144.32,136.1674
2017-09-29,145.45,137.2336
2017-10-06,147.66,139.3187
2017-10-13,148.34,139.9603
2017-10-20,148.71,140.3094
2017-10-27,151.24,142.6965
2017-11-03,153.27,144.6118
2017-11-10,153.68,144.9987
2017-11-17,153.95,145.2534
2017-11-24,156.26,147.4329
2017-12-01,154.49,145.7629
2017-12-08,154.7,145.9611
2017-12-15,157.65,148.7444
2017-12-22,157.37,148.7885
2017-12-29,155.76,147.2663
2018-01-05,161.92,153.0904
2018-01-12,164.49,155.5203
2018-01-19,166.34,157.2694
2018-01-26,170.93,161.6091
2018-02-02,164.61,155.6337
2018-02-09,156.1,147.5878
2018-02-16,164.96,155.9647
2018-02-23,168.17,158.9996
2018-03-02,165.99,156.9385
2018-03-09,173.16,163.7175
2018-03-16,171.02,161.6942
2018-03-23,158.51,150.1144
2018-03-29,160.13,151.6486
2018-04-06,156.63,148.334
2018-04-13,161.37,152.8229
2018-04-20,162.3,153.7037
2018-04-27,162.09,153.5048
2018-05-04,164.87,156.1375
2018-05-11,169.46,160.4844
2018-05-18,167.46,158.5904
2018-05-25,169.72,160.7307
2018-06-01,172.74,163.5907
2018-06-08,174.44,165.2007
2018-06-15,176.98,167.6061
2018-06-22,175.32,166.39
2018-06-29,171.65,162.9069
2018-07-06,175.61,166.6652
2018-07-13,179.61,170.4615
2018-07-20,178.99,169.8731
2018-07-27,177.62,168.5728
2018-08-03,180.08,170.9075
2018-08-10,180.52,171.3251
2018-08-17,179.86,170.6987
2018-08-24,182.48,173.1853
2018-08-31,186.65,177.1429
2018-09-07,181.11,171.8851
2018-09-14,183.99,174.6184
2018-09-21,183.71,174.3526
2018-09-28,185.79,176.6429
2018-10-05,180.15,171.2806
2018-10-12,174.32,165.7376
2018-10-19,173.02,164.5016
2018-10-26,166.66,158.4547
2018-11-02,169.38,161.0408
2018-11-09,171.52,163.0754
2018-11-16,167.5,159.2534
2018-11-23,159.21,151.3715
2018-11-30,169.37,161.0313
2018-12-07,161.38,153.4347
2018-12-14,161.08,153.1494
2018-12-21,147.57,140.3046
2018-12-28,152.97,145.865
2019-01-04,156.23,148.9736
2019-01-11,160.69,153.2265
2019-01-18,165.25,157.5747
2019-01-25,165.15,157.4793
2019-02-01,167.45,159.6725
2019-02-08,168.56,160.7309
2019-02-15,171.94,163.9539
2019-02-22,172.89,164.8598
2019-03-01,174.39,166.2901
2019-03-08,171.17,163.2197
2019-03-15,178.35,170.0662
2019-03-22,178.56,170.5758
2019-03-29,179.66,171.6266
2019-04-05,184.66,176.403
2019-04-12,185.83,177.5207
2019-04-18,187.39,179.011
2019-04-26,190.65,182.1252
2019-05-03,191.11,182.5646
2019-05-10,185.0,176.7278
2019-05-17,183.04,174.8555
2019-05-24,178.16,170.1937
2019-05-31,173.95,166.1719
2019-06-07,181.04,172.9449
2019-06-14,182.64,174.4734
2019-06-21,188.57,180.1382
2019-06-28,186.74,178.784
2019-07-05,191.05,182.9104
2019-07-12,193.53,185.2847
2019-07-19,191.01,182.8721
2019-07-26,195.29,186.9698
2019-08-02,187.35,179.368
2019-08-09,186.49,178.5447
2019-08-16,185.48,177.5777
2019-08-23,182.07,174.313
2019-08-30,187.47,179.4829
2019-09-06,191.59,183.4274
2019-09-13,192.54,184.3369
2019-09-20,190.8,182.6711
2019-09-27,187.03,179.4228
2019-10-04,188.81,181.1304
2019-10-11,191.11,183.3368
2019-10-18,191.69,183.8932
2019-10-25,195.64,187.6826
2019-11-01,198.87,190.7812
2019-11-08,201.23,193.0452
2019-11-15,202.91,194.6569
2019-11-22,201.83,193.6208
2019-11-29,205.1,196.7578
2019-12-06,205.0,196.6618
2019-12-13,207.19,198.7628
2019-12-20,211.71,203.0989
2019-12-27,213.61,205.3644
2020-01-03,214.18,205.9124
2020-01-10,218.43,209.9983
2020-01-17,223.38,214.7573
2020-01-24,222.7,214.1035
2020-01-31,219.07,210.6136
2020-02-07,229.2,220.3526
2020-02-14,234.64,225.5826
2020-02-21,230.27,221.3813
2020-02-28,205.8,197.8559
